Word-Expression,English,Arabic,Kurdish
New cars,New cars,سيارات جديدة,ئۆتۆمبێلی نوێ
Rent cars,Rentals,سيارات للإيجار,ئۆتۆمبێل بۆ کرێ
Close to you,Nearby,قريبه منك,نزیک لە تۆ
Popular body types,Popular body type,هيكل سيارة الأكثر شعبية,باوترین بۆدی ئۆتۆمبێل
Saloon,Saloon,صالون,صاڵۆن
SUV,SUV,دفع رباعي,دەبڵ ئەکسڵ
Estate,Estate, ستيشن,ستێشن 
Hatchback,Hatchback,هاتشباك,هاچباک
Van,Van,فان,ڤان
Coupe,Coupe,كوبيه,کوپ
Convertible,Convertible, مكشوفة,سەقف کەشف
MPV,MPV, متعددة الأغراض,فرە مەبەست
Pickup,Pickup, بيك اب,پیكاب
Sell your car,Sell your car,بيع سيارتك,ئۆتۆمبێلەکەت بفرۆشە
now you have the chance to sell your car and get the best price for it !,Sell your car today and get the best price.,بيع سيارتك اليوم واحصل على أفضل سعر.,ئەمڕۆ ئۆتۆمبێلەکەت بفرۆشە و باشترین نرخ بەدەست بهێنە.
New car deals,New car deals,عروض سيارات جديدة,ئۆفەری ئۆتۆمبێلی نوێ
Recommended spares for you,Recommended spares for you,قطع الغيار الموصى بها لك,یەدەگی پێشنیار کراو بۆ ئێوە
Spare parts All in one section,All spare parts in one place.,جميع قطع الغيار في مكان واحد.,هەموو پارچەی یەدەگ لە یەک شوێن.
Check it out,Explore now,استكشف الآن,ئێستا بگەڕێ
Recommended cars for rent,Recommended cars for rent,سيارات موصى بها للإيجار,ئۆتۆمبێلی پێشنیار کراو بۆ کرێ
Rent your car !,Rent your car,أجر سيارتك ,ئۆتۆمبێلەکەت بە کرێ بده 
now you have the chance to rent a car as long as you want,"Drive when you want and earn when you don’t, a smarter way to turn your car into an income stream and opportunity",قم بالقيادة عندما تريد واكسب المال عندما لا تريد، وهي طريقة أكثر ذكاءً لتحويل سيارتك إلى مصدر دخل وفرصة,کاتێک دەتەوێت لێبخوڕە و کاتێک ناتەوێت داهات بەدەستبهێنە، ڕێگەیەکی زیرەکترە بۆ گۆڕینی ئۆتۆمبێلەکەت بۆ ڕژێمی داهات و دەرفەت
Rent it now,Rent it now,أجّرها الآن,ئێستا بە کرێی بگرە
Sell it now,Sell it now,بعها الآن,ئێستا بیفرۆشە
Helpful tips,Helpful tips,نصائح مفيدة,ئامۆژگاری یارمەتیدەر
Continue reading...,Continue reading,تابع القراءة,بەردەوام بە لە خوێندنەوە
Recently sold cars,Recently sold cars,السيارات المباعة مؤخرا,بەم دواییە ئۆتۆمبێلی فرۆشراو
Brands make,Brands,الشركات,کۆمپانیاکان
Search for a brand,Search brands,البحث في الشركات,گەڕان بەدوای کۆمپانیاکان
Body types,Body type,نوع الهيكل,جۆری بۆدی 
Car buying journey,Car buying journey,رحلة شراء سيارة,گەشتی کڕینی ئۆتۆمبێل
"Follow these straightforward steps to find, compare, and buy your perfect vehicle","Follow these straightforward steps to find, compare, and buy your perfect car",اتبع هذه الخطوات البسيطة لتجد، تقارن، وتشتري سيارتك المثالية,ئەم هەنگاوە سادانە پەیڕەو بکە بۆ دۆزینەوە و بەراوردکردن و کڕینی ئۆتۆمبێلە تەواوەکەت.
Search,Search,البحث ,گەڕان
Find cars that match your style,Find cars that match your style,ابحث عن السيارات التي تتناسب مع أسلوبك,ئەو ئۆتۆمبێلانە بدۆزەرەوە کە لەگەڵ ستایلەکەتدا بگونجێت
Search cars,Search cars,البحث عن سيارات,گەڕان بەدوای ئۆتۆمبێلدا
See the difference to make a smart choice.,See the difference to make a smart choice.,شاهد الفرق لتتمكن من الاختيار بذكاء.,جیاوازییەکە ببینە بۆ ئەوەی هەڵبژاردنێکی زیرەک بکەیت.
Try Comparison,Try comparison,جرب المقارنة,بەراوردکردنەکە تاقی بکەرەوە
Connect,Connect,تواصل,پەیوەندیکردن
Chat directly with trusted sellers.,Chat directly with trusted sellers.,تحدث مباشرة مع البائعين الموثوق بهم.,ڕاستەوخۆ لەگەڵ فرۆشیارە متمانەپێکراوەکان چات بکە.
Contact sellers,Contact sellers,تواصل مع البائعين,پەیوەندی بە فرۆشیارەکانەوە بکە
Buy the car,Buy the car,أشتري السيارة,من ئۆتۆمبێلەکە دەکڕم
Seal the deal and hit the road .,Seal the deal and hit the road .,أبرم الصفقة وانطلق على الطريق.,گرێبەستەکە مۆر بکە و ڕێگاکە بکە .
Get the car,Get the car,اقتنِ السيارة,ئۆتۆمبێلەکە بکڕە
Car renting journey,Car renting journey,رحلة تأجير سيارة,گەشتێکی کرێی ئۆتۆمبێل
Follow these straightforward steps to find the perfect car to rent!,Follow these straightforward steps to find your perfect car to rent!,اتبع هذه الخطوات البسيطة للعثور على السيارة المثالية للأيجار!,ئەم هەنگاوە سادانە پەیڕەو بکە بۆ دۆزینەوەی ئۆتۆمبێلێکی تەواو بۆ کرێ!
"Look for cars by location, rent type and how long to rent","Search for cars by location, rental type, and duration.",ابحث عن السيارات حسب الموقع ونوع الإيجار والمدة.,بەدوای ئۆتۆمبێلدا بگەڕێ بەپێی شوێن و جۆری کرێ و ماوەی ئۆتۆمبێل.
Search rentals,Search rentals,البحث عن سيارات للإيجار,گەڕان بەدوای ئۆتۆمبێل بۆ کرێ
"Check features, prices, and reviews to spot the right one for you.","Compare features, prices, and reviews to choose the one that suits you best.","قم بمقارنة الميزات, الأسعار والمراجعات لاختيار الأنسب لك.",تایبەتمەندی و نرخ و پێداچوونەوەکان بەراورد بکە بۆ هەڵبژاردنی باشترینیان بۆت.
Get in touch with renter directly to arrange the rental,Contact the renter directly to arrange your rental.,اتصل بالمؤجر مباشرة لترتيب السيارة الخاصة بك للإيجار.,بۆ ڕێکخستنی کرێی ئۆتۆمبێلەکەت ڕاستەوخۆ پەیوەندی بە بەکرێدەرەوە بکە.
Connect with renter,Connect with renters,تواصل مع المؤجِّرين,پەیوەندی بە خاوەن خانووەکانەوە بکەن
Collect & go,Collect and go,استلم وانطلق,هەڵبگرە و بڕۆ
Pick up your car and be on your way!,Pick up your car and be on your way!,استلم سيارتك وانطلق في طريقك!,ئۆتۆمبێلەکەت هەڵبگرە و دەست بە ڕێگاکەت بکە!
Used cars,Used cars,سيارات مستعملة,ئۆتۆمبێلی بەکارهاتوو
Luxury cars,Luxury cars,سيارات الفاخرة,ئۆتۆمبێلی لوکس
Electric cars,Electric cars,سيارات كهربائية,سەیارەی کارەبایی
Family cars,Family cars,سيارات عائلية,ئۆتۆمبێلی خێزان
Best price,Best price,أفضل سعر,باشترین نرخ
Used cars deals,Used car deals,عروض السيارات المستعملة,ئۆفەری ئۆتۆمبێلی بەکارهاتوو
Buying tips,Buying tips,نصائح الشراء,ئامۆژگاری بۆ کڕین
Rental tips,Renting tips,نصائح الإيجار,ئامۆژگاری بۆ کرێ
Luxury cars rentals,Luxury car rentals,سيارات الفاخرة للإيجار,ئۆتۆمبێلی لوکس بۆ کرێ
Long term rentals,Long term rentals,تأجير لفترات طويلة,کرێی درێژخایەن
Short term rentals,Short term rentals,تأجير لفترات قصيرة,کرێی کورتخایەن
Recommended cars for rent,Recommended cars for rent,سيارات موصى بها للإيجار,ئۆتۆمبێلی پێشنیار کراو بۆ کرێ
New rent deals,New rent deals,عروض إيجار جديدة,ئۆفەری نوێی کرێ
Luxury rentals,Luxury rentals,سيارات الفاخرة للإيجار,ئۆتۆمبێلی لوکس بۆ کرێ
Family rentals,Family rentals,سيارات عائلية للإيجار,ئۆتۆمبێلی خێزان بۆ کرێ
Best Price rentals,Best Price rentals,أفضل سعر للإيجار,باشترین نرخی کرێ
Governorate,Governorate,المحافظة,پارێزگار
Search for a Governorate,Search Governorates,البحث في المحافظات,گەڕان لە پارێزگاکان
Next,Next,التالي,داهاتوو
Done,Select,اختر,هەڵبژێرە
City,City,المدينة,شار 
Search for a City,Search cities,البحث في المدن,لە شارەکاندا بگەڕێ
Car,Car,سيارة,ئۆتۆمبێل
Spare,Spare,قطعة غيار,بەش
Rentals,Rentals,سيارات للإيجار,ئۆتۆمبێل بۆ کرێ
,,,
,,,
car details,,,
,,,
Basic,Basic details,التفاصيل الأساسية,وردەکارییە بنەڕەتییەکان
Features,Features,المميزات,تایبەتمەندییەکان
Specifications,Specifications,المواصفات,تایبەتمەندییەکان
Rating,Rating,التقييم,هەڵسەنگاندن
About,About,حول,دەربارەی
Make,Make,الشركة,کۆمپانیا
Model,Model,الموديل,مۆدێل
Model variant,Model variant,الفئة,جۆر
Make year,Make Year,سنة الصنع,ساڵی بەرهەمهێنان
Kilometers,Kilometres,عدد الكيلومترات ,کیلۆمەترەکان
Gearbox,Gearbox,ناقل الحركة,گێڕ 
Fuel type,Fuel type,نوع الوقود,جۆری سووتەمەنی
Body type,Body type,نوع الهيكل,جۆری بۆدی 
Car import,Car import,وارد السيارة,هاوردەکردنی ئۆتۆمبێل
Condition & Paint,Condition & paint,حالة الهيكل والطلاء,باری جەستە و بۆیاخ
Exterior color,Exterior colour,اللون الخارجي,ڕەنگی دەرەوە
Interior color,Interior colour,اللون الداخلي,ڕەنگی ناوەوە
Doors,Doors,الأبواب,دەرگاکان
Seats,Seats,المقاعد,کورسییەکان
Seat material,Seat material,مادة المقعد,کەرەستەی کورسی
Plate type,Plate type,نوع الرقم,جۆری ژمارە
Description,Description,الوصف,وەسفەکە
Similar cars,Similar cars,سيارات مماثلة,ئۆتۆمبێلی هاوشێوە
"Check here for the car’s available spares , everything you might need to keep it running smoothly.",,,
Engine and performance,,,
Engine size,,,
Engine power,,,
Engine torque,,,
Cylinders,,,
Top speed,,,
Acceleration (0 to 100 ),,,
Battery and Charging,,,
Battery type,,,
Capacity,,,
Usable capacity,,,
Range,,,
Battery,,,
Capacity,,,
Fuel tank capacity,,,
Minimum kerb weight,,,
Gross vehicle weight,,,
Boot space,,,
Max loading weight,,,
Height,,,
Length,,,
Width,,,
Wheelbase,,,
Dimensions,,,
Chat with Seller,,,
Call seller,,,
Audio and Communication,,,
Driver Assistance,,,
Exterior features,,,
Interior features,,,
Illumination,,,
Rate and review,,,
Reviews,,,
All users can view reviews that include your account information. More information,,,
Write your experience,,,
Optional,,,
Governorate,,,
Privet seller,,,
Dealer,,,
,,,
company profile,,,
,,,
About,,,
Cars,,,
Rentals,,,
Spare,,,
our seller,,,
please contact if you are interested ,,,
customer services,,,
Open maps,,,
Website,,,
About us,,,
working hours,,,
Open,,,
Closes,,,
Closed,,,
day,,,
Search cars by name,,,
